t,pred,prey,prey2,grass,grass2
5420,34,27,25,135,111
5430,33,26,25,136,114
5440,32,24,26,138,115
5450,32,21,27,136,113
5460,31,19,24,135,111
5470,31,21,22,135,111
5480,31,21,21,141,113
5490,32,18,20,145,112
5500,30,18,16,149,112
5510,30,16,17,149,113
5520,30,16,15,150,114
5530,32,17,15,156,113
5540,32,17,15,153,116
5550,33,16,14,155,111
5560,33,16,14,157,108
5570,34,16,12,153,107
5580,33,17,12,151,109
5590,33,13,12,151,110
5600,34,11,12,153,110
5610,34,12,13,155,111
5620,34,11,14,157,114
5630,34,9,13,158,115
5640,33,7,12,159,115
5650,33,7,12,162,115
5660,33,7,11,163,115
5670,32,7,10,164,115
5680,31,7,9,166,115
5690,29,7,9,169,115
5700,29,7,9,170,117
5710,29,7,9,172,121
5720,29,4,8,175,122
5730,28,4,7,177,122
5740,27,4,7,177,120
5750,26,4,7,180,120
5760,25,5,8,183,124
5770,25,5,8,185,125
5780,26,5,5,185,125
5790,26,4,4,186,125
5800,25,4,3,185,126
5810,25,4,3,187,127
5820,23,5,3,184,128
5830,23,5,3,186,129
5840,23,5,3,184,129
5850,22,5,3,184,134
5860,22,5,3,183,136
5870,22,6,3,181,137
5880,22,6,3,181,136
5890,22,6,3,180,138
5900,20,6,3,177,140
5910,19,6,4,173,141
5920,18,6,4,173,139
5930,17,7,4,172,141
5940,17,7,4,173,142
5950,17,8,3,172,143
5960,17,6,3,172,140
5970,17,6,3,173,140
5980,17,6,3,173,138
5990,16,6,3,174,139
6000,16,6,4,176,137
6010,16,6,4,176,136
6020,16,6,4,175,136
6030,15,6,4,175,135
6040,13,6,5,177,135
6050,13,6,6,178,135
6060,11,6,6,178,134
6070,11,6,6,178,135
6080,11,5,6,180,134
6090,11,5,6,183,134
6100,10,5,6,183,133
6110,9,5,6,183,136
6120,8,5,6,183,134
6130,7,5,6,182,134
6140,8,5,5,180,132
6150,8,5,5,179,132
6160,7,6,5,177,131
6170,7,6,5,174,131
6180,7,7,5,173,135
6190,7,7,5,171,134
6200,7,7,5,173,135
6210,7,8,5,171,134
6220,7,8,5,168,132
6230,6,8,5,168,131
6240,6,8,5,167,131
6250,6,9,5,168,128
6260,6,7,5,168,127
6270,6,7,6,167,128
6280,6,8,6,166,129
6290,6,8,6,166,130
6300,6,7,6,165,131
6310,6,8,6,166,129
6320,6,9,8,168,127
6330,6,9,8,167,126
6340,6,9,8,169,127
6350,6,12,9,170,124
6360,6,12,9,169,124
6370,6,12,10,170,127
6380,5,11,10,169,126
6390,5,11,11,168,126
6400,5,10,11,167,126
6410,5,10,11,166,126
6420,5,10,11,165,125
6430,5,10,12,162,125
6440,5,10,14,160,124
6450,5,12,13,157,120
6460,5,12,14,159,119
6470,4,12,14,156,117
6480,4,12,14,155,116
6490,4,14,14,154,113
6500,4,14,14,151,112
6510,4,14,14,151,109
6520,4,15,15,148,105
6530,3,16,16,146,102
6540,3,16,16,144,101
6550,3,16,17,144,99
6560,3,16,18,141,95
6570,2,17,18,140,96
6580,2,18,18,141,93
6590,2,18,18,141,93
6600,2,18,18,142,93
6610,2,20,18,140,95
6620,2,21,18,139,95
6630,2,22,18,136,92
6640,2,24,18,133,94
6650,2,23,19,134,94
6660,2,22,20,130,91
6670,2,23,20,127,90
6680,2,24,20,125,91
6690,2,25,21,122,90
6700,2,25,21,115,90
6710,2,26,22,112,92
6720,2,27,22,111,89
6730,2,28,22,102,91
6740,2,30,25,101,88
6750,2,31,26,98,83
6760,2,31,29,94,83
6770,2,32,31,88,81
6780,2,33,32,83,83
6790,2,33,34,79,77
6800,2,33,35,80,75
6810,2,34,37,80,77
6820,2,34,37,77,76
6830,2,35,38,69,71
6840,2,37,38,69,69
6850,2,39,40,71,69
6860,2,39,41,72,66
6870,2,41,42,75,66
6880,2,42,43,82,68
6890,2,43,44,81,64
6900,3,44,46,77,66
6910,3,44,46,76,66
6920,3,47,46,77,67
6930,4,49,46,83,65
6940,4,49,46,77,65
6950,4,49,46,82,69
6960,4,50,47,80,67
6970,4,52,48,85,67
6980,4,52,48,86,69
6990,4,53,50,81,67
7000,4,54,51,77,66
7010,4,56,54,79,68
7020,4,61,55,75,68
7030,4,61,55,72,62
7040,5,61,55,68,63
7050,5,61,55,68,63
7060,5,64,57,67,56
7070,5,65,57,65,53
7080,5,67,58,65,50
7090,5,66,61,70,47
7100,5,69,61,71,41
7110,5,68,62,69,38
7120,6,69,63,69,36
7130,6,69,64,59,41
7140,6,70,64,57,43
7150,6,73,67,51,42
7160,6,72,67,48,37
7170,6,72,69,51,36
7180,6,73,69,55,39
7190,6,73,73,58,39
7200,6,75,70,60,40
7210,6,79,69,58,43
7220,6,79,70,58,45
7230,6,78,69,57,49
7240,6,79,69,55,49
7250,7,79,68,62,47
7260,7,78,68,59,49
7270,7,77,71,66,49
7280,7,79,71,65,47
7290,7,78,75,62,44
7300,7,80,75,64,43
7310,7,82,76,68,42
7320,7,83,78,64,43
7330,8,84,78,73,43
7340,8,85,77,75,43
7350,9,85,76,73,43
7360,9,86,77,65,45
7370,9,89,79,66,48
7380,9,87,77,67,41
7390,9,88,77,62,42
7400,9,89,77,54,41
7410,9,89,76,58,40
7420,9,90,76,53,39
7430,9,91,77,50,42
7440,9,92,76,49,46
7450,9,92,77,46,49
7460,9,92,78,45,55
7470,9,94,81,55,50
7480,9,92,84,57,49
7490,10,93,85,58,49
7500,10,93,86,52,48
7510,10,94,86,50,46
7520,10,93,84,53,40
7530,10,95,81,50,44
7540,12,96,80,60,50
7550,12,94,80,62,53
7560,12,94,81,65,50
7570,12,94,82,65,53
7580,12,94,81,70,54
7590,12,95,83,74,53
7600,12,95,82,73,54
7610,12,92,81,70,52
7620,13,88,81,69,53
7630,13,89,81,68,47
7640,13,90,82,63,50
7650,13,88,81,58,49
7660,13,89,83,54,50
7670,13,90,85,49,53
7680,14,89,86,58,54
7690,14,88,84,58,53
7700,15,89,85,48,52
7710,16,89,84,50,56
7720,16,90,84,43,60
7730,17,88,84,43,55
7740,17,87,85,45,55
7750,17,89,85,51,52
7760,17,87,86,51,50
7770,17,87,87,53,52
7780,16,87,86,56,56
7790,16,87,86,65,56
7800,15,85,86,70,58
7810,14,86,86,67,62
7820,16,87,88,69,61
7830,17,85,87,69,64
